,response,score,observed
0, Like he's looking out and trying to think about his life.,1.75,3.9903388023376465
1, A man has a knife close to the throat of a woman somewhere very far away from me in the past.,6.5,2.471938133239746
2, He is in a kitchen that is kind of bare.,4.0,4.090477466583252
3, A man is staring at the camera and looks upset.,2.75,2.596365451812744
4, A woman is holding a child.,6.0,2.837420701980591
5, A woman was scolding a man.,5.75,3.2218856811523438
6,There is an elderly man looking outside the window.,5.75,2.5018818378448486
7," A girl's body is lying out, and part of her face is missing.",5.75,4.701162338256836
8,This occurred a long time ago.,6.5,3.966820001602173
9,There is a policeman attacking a man.,5.25,3.349886417388916
10," I don't really feel anything looking at this photo, but I am curious about what he's looking at in the distance.",2.75,2.8149971961975098
11, The picture is blurred from being taken while in motion.,5.75,2.608247756958008
12, the man has brown hair.,6.5,2.829591751098633
13, She has a 90's style.,4.25,4.627782344818115
14, This makes me feel neutral.,1.5,3.142519474029541
15, she is balancing on one leg and is standing in the shadow.,6.5,2.96417498588562
16, There is a woman on the phone and she is balancing on one foot while talking.,6.5,3.399251699447632
17, He has a unibrow and the old photo makes his whole face look funny.,3.5,2.8720388412475586
18, The woman is grabbing the man and looking angrily towards him.,4.5,3.2785794734954834
19, a very bloody picture from the 90s medical textbook or something of someone who was in a car accident or something.,4.25,3.520282506942749
20," There are a group of men who are engaged at a car, with weapons such as a baseball bat, and pistol.",5.25,3.0864789485931396
21, The skin has been burned through this person.,6.25,2.4561548233032227
22, her nails look cute.,2.5,3.7980868816375732
23, There is a man staring directly into the camera.,5.25,3.403489828109741
24," white man working outside shop, food store, cutting meat? different language, Italian I think, .",4.0,2.718024730682373
25,"there is a man looking ahead, he is smiling.",6.5,2.4001340866088867
26, A woman is holding a man's face that has been affected by a gunshot wound.,6.25,3.888617992401123
27, A man is threatening another man and this image makes me feel worried for the threatened person.,3.0,2.7156100273132324
28, I would love to just curl up on that window on a snowy day as shown and read a book or drink hot chocolate.,2.25,2.7464981079101562
29, his eyes are open and he looks conscious.,6.75,3.140886068344116
30, I just want to pinch its little cheeks.,2.5,3.1909003257751465
31,A baby is deformed after birth.,4.0,2.8103837966918945
32,"Acknowledging my passive suicidal ideation didn’t give it more life; it gave me more life, empowering me to dig into the emotional dirty work.",2.0,2.9659175872802734
33, One eye is gone and their mouth and nose skin have burnt.,6.75,3.4378223419189453
34, It seems like the man is offended or wary of the woman and the lady almost has a smile.,2.5,3.898012399673462
35,"Someone's head is badly injured, probably about to head into surgery, the eyes could barely open.",4.0,2.7650465965270996
36, His face is not visible.,6.25,3.5058693885803223
37, and the baby has a cute expression .,2.25,3.0681400299072266
38," In another country, there's something that I'm not sure if is completely human, but has a human-like face, that's white and covered in blood with a badly misshaped nose, eye.",3.0,3.513096809387207
39, A woman cried as another woman helped her in a country far from here many years ago.,6.25,2.5783190727233887
40, The hand is holding a knife.,6.75,3.3043346405029297
41,"Rather, The Mission Heritage Tours seek to tell the untold story.",5.25,2.9903669357299805
42," There is a severely wounded hand in this photo, it seems practically blown apart.",4.25,3.2215158939361572
43, Several men are shown in what appears to be the back of a truck; they are all wearing hats and their hands are bound above their heads to the side of the truck.,5.25,3.5431935787200928
44,There is a man telling a woman something but she does not want to hear it.,4.75,3.0016794204711914
45," Unlike the other picture, this woman has the gun raised and aimed.",7.0,3.507323980331421
46, There is a judge that seems disappointed with a situation.,2.0,3.0190958976745605
47, a picture from a hospital in the 90's where a man has his arms up and is attached to a drip.,5.75,3.6393816471099854
48, A stern faced man wearing a hat is crossing his arms and looking at the camera.,5.25,2.658590793609619
49, It seems like it is a rather sinister mask and could potentially be for a bank robbery.,4.0,3.950183868408203
50, Is SVR the soviet union? Is this a soldier? .,2.75,3.048686981201172
51, he is wearing a shirt with a plaid collar .,7.0,3.854166269302368
52, there is a chef holding a baby.,6.5,4.4680047035217285
53, A burned kid with a lot of injuries and blood on his body laying on a bed.,6.5,2.9390015602111816
54, Looks to be a police photograph.,3.0,5.18751335144043
55, A child and a woman are looking up at something and both seem interested.,3.75,3.1590211391448975
56," If this is a person, what happened to them? Can barely make out their features, but I can't judge .",2.0,3.1320109367370605
57, The man seems to be shouting or something.,3.25,4.071928024291992
58, he has a dark shirt.,5.75,2.689218521118164
59, She has a notebook in front of her and is wearing a large suit with pearls.,6.0,2.6603238582611084
60," he has brown hair, tan, shirt dark.",6.25,3.197824478149414
61, The man is hot and has a violin that he wants to play for the ground.,3.25,3.0208792686462402
62, A person is holding a gun towards the camera somewhere very far away from me with two other people on either side of the person holding the gun.,5.5,2.9322476387023926
63, The man looks like he spotted someone he knew far off in the distance.,3.0,2.9856889247894287
64, There was a man who just finished punching a woman in the face it looks like and the woman recoiled back because .,4.0,3.244245767593384
65," a long time ago, a man grabbed a woman by her neck as she resisted and grabbed his arm to pull away.",6.5,3.045135021209717
66, Guy on couch is having a chill time .,5.25,2.42291259765625
67,Historic evidence is shelved.,5.75,4.036036491394043
68," He is young in age so this cant happen to you now at this day and age, he probably spilled something or hid bc he knew he was in trouble.",3.0,3.1516332626342773
69, This took place in a location far away and occurred a long time ago.,6.5,3.0026726722717285
70,Gui estimates that she spends around three to four hours on Instagram per day on average.,5.75,2.4487130641937256
71," In a different country, there is a man pictured in a hospital with his chest exposed and his mouth and nose strapped into a breathing machine.",6.25,3.138909101486206
72, This is an image of a teacher who is in the middle of saying something.,6.25,2.877272129058838
73, There are three men all standing in black and white tuxedos.,6.75,2.598339557647705
74,There are many terrible examples of this.,3.0,2.6576900482177734
75,"Again, that's a stunning 99 percent chance to win based on the score, along with the fact that the Falcons had the ball with almost a sure field goal.",2.5,3.2150981426239014
76, an old picture from a medical textbook showing someone who has had their neck cut.,5.5,2.8377254009246826
77,"We know our customers, and we know each other.",3.5,3.4404945373535156
78," there is an old man with swollen and potentially infected skin below his eyes/eyebag area, his eyes are teary .",5.0,4.796304225921631
79," like yesterday, I feel intimidated and awkward by the guy with pretty eyes staring me in the face.",2.25,2.6613855361938477
80,"The GLO, is discounting people because they are indigenous to Texas, materially less off, or because they couldn’t place a granite monument up that would last 300 years.",5.5,3.1391401290893555
81, A woman disciplines a kid hiding in the closet.,6.0,3.239870309829712
82, There a group of men who seem to be holding someone up in a car.,5.0,3.4610016345977783
83, Would like to meet these men they seem wholesome and friendly I feel relaxed.,3.25,3.2206733226776123
84, He seems like he's got a lot on his mind.,1.75,3.178135871887207
85, someone's hand is extremely mutilated.,6.5,2.673147201538086
86,"San Francisco, Oakland, and Somerville, Massachusetts, recently became the first cities in the country to ban the technology.",6.75,2.9005322456359863
87, Seems quiet like no one's bothering her.,3.5,5.06580114364624
88,A neonate hooked up to tubes.,6.5,2.9223527908325195
89, I like the film aesthetic .,1.5,3.1398048400878906
90, If it is not fake this person has gone through a serious injury.,2.0,3.4934377670288086
91,"I’ve been blogging for two years on this blog and let me tell you, starting a mom blog was the best decision I ever made.",1.75,3.0084750652313232
92, This is a picture of a hand holding a revolver.,7.0,2.76961612701416
93,This guy looks really tired and maybe a bit upset because the picture gives off a depressing vibe.,2.75,3.6828322410583496
94, very happy that this boy has clothes on him and is resting/not crying in a beautiful day in fall.,2.25,3.6597542762756348
95,"An old photograph of someone who has suffered a very deep cut on their face, spanning from the forehead to the jaw.",6.75,2.621225595474243
96, Her posture makes her seem calm and she seems to be.,2.75,3.5828640460968018
97, this is a posed photo of two men in a city and one man is trying to threaten the other one who looks vaguely uncomfortable .,2.25,3.5364627838134766
98, The man is looking at the camera while the woman is looking at the man.,7.0,3.113123893737793
99, this is really unpleasant the body looks really mangled and gross.,1.75,3.7058002948760986
100, the one guy is threatening the other guy and holding his shirt.,5.5,2.5102641582489014
101, Half his face is missing and bloodied.,7.0,2.7787575721740723
102," A man looking over, neutral expression.",6.0,2.428682804107666
103, It is a gruesome image and it makes me feel scared.,2.75,3.3115477561950684
104,there is a dead woman with a bloody face her nose is specifically the most bloody part .,5.0,2.5716207027435303
105," This is a group of people dead, bruised and bleeding.",6.0,2.7076315879821777
106," That hand is really mangled, that looks incredibly painful.",4.0,2.5874924659729004
107,An image of a baby in some kind of incubator.,5.25,3.3642966747283936
108, A dead man with his throat slashed and possible chest injuries.,6.5,2.9925599098205566
109, No one else is in the photo though and there's no imagery of someone being harmed.,4.75,2.838582992553711
110, the car door is open.,6.75,3.4096720218658447
111," She has somewhat disfigured body features, like she does not have breasts.",6.0,2.4274163246154785
112,On Saturdays she stays in and prepares all her photos for the week ahead of time.,5.75,1.845400333404541
113, It is propped up on its elbows and smiling for the camera.,6.5,2.4758501052856445
114," One man is in a beige suit, and the other is in a dark suit.",6.25,3.149897336959839
115," Very burned, the exposed flesh and ash juxtaposition is scar.",4.5,3.1769497394561768
116, she has glasses and short blonde hair.,5.75,3.0338306427001953
117," The man is pointing his gun towards the lady, who is obviously .",6.0,3.069469928741455
118, a man had duct tape around his head.,7.0,3.3059253692626953
119, There was a white man wearing a red shirt choking a young woman who did not seem to be enjoying at all .,4.0,3.2495079040527344
120, Man left side of face is completely gone.,5.25,3.9955122470855713
121," There are a bunch of people, mostly firemen, surrounding a car that has just crashed into a tree.",6.0,3.375819683074951
122, This is a very disturbing image.,1.25,6.469930648803711
123," His finger was on the trigger, ready to fire.",5.25,3.1887097358703613
124, also could be gooby from meet the robinsons lol I'm a fan of this dude.,2.5,3.301844835281372
125, I love to see a child reading and she already has better fashion than me.,1.5,3.5746097564697266
126, I don't really feel anything to this because I don't know what she's doing.,1.75,3.0772852897644043
127,“’It’s the very first time in Belgium that a [mass movement was] started by two women and not about feminist rights.’,4.75,3.1803927421569824
128," She seems to be wearing lipstick, and has bangs covering her face.",4.25,2.3733839988708496
129,"He is wearing sunglasses, and a backwards cap who is pointing the gun at a black dude in a car.",7.0,2.5344772338867188
130," The thief is caught in the middle of his robbery, shocked.",5.25,3.3741016387939453
131, a man in a cowboy hat once was playing a guitar a long time ago.,6.5,2.458181142807007
132, the baby has really dark sweet eyes.,3.5,3.6560659408569336
133,Whatever it takes.,2.5,3.798234701156616
134,That’s how I made my way into this niche where there was no one else.,3.5,3.138504981994629
135, A girl and a boy are holding hands and walking along a beach path to their home.,6.0,2.2789344787597656
136,"They do not argue with propositions; they argue with good looks, celebrities and commercials.",4.75,3.419461965560913
137," A baby is lying face down on a pillow, but his arms are pressing him up so he can smile at the camera.",4.25,2.5040972232818604
138, his expression is emotionless .,3.0,3.879462480545044
139, Someone who had surgery and been beaten up.,5.75,3.061530590057373
140,"(Microsoft's CEO was once asked, in a technical interview, what he would do if he saw a baby lying in an intersection:",7.0,2.4253954887390137
141, An image of a young girl crying for some reason.,4.5,3.287091016769409
142, she was holding a cigarette far away from here.,5.25,3.0295486450195312
143, The old man is not eating good food.,3.75,2.34047532081604
144,"“On a par with any you may find in Chicago, New York, or London,” she adds.",3.25,2.8201637268066406
145, he is afraid to make eye contact.,4.25,2.451089859008789
146, The baby is chubby.,5.0,3.969907760620117
147, This is a regular picture of a young man.,3.75,2.9928855895996094
148," a man is wearing a suit, he is looking at something and seems confused.",3.0,3.0636706352233887
149, He looks sad.,2.5,3.1590542793273926
150, the man in white is cowering.,4.75,3.147280216217041
151, I hope he survives.,1.75,3.8212201595306396
152,  he is being held in a towel by someone.,5.0,3.6647956371307373
153,"When the protests drew tens of thousands, Van der Heyden said, she was stunned to see as many boys as girls in the crowds, “and yet no one ever challenged the leadership of the female organizers.",4.5,3.2186264991760254
154, There is also a chalkboard and a map behind .,5.75,3.98237943649292
155, An image of a man holding a gun while wearing sunglasses in a place far from here and many years ago.,6.5,5.174341678619385
156, A person is under emergency care.,6.25,2.952744483947754
157, Her face looks angry.,3.0,2.922858238220215
158, I feel neutral looking at this.,1.5,3.6934995651245117
159,"There is a blonde lady sitting, posing for a photo with the ocean in the background, she has a denim shirt.",5.75,3.178565740585327
160, its cute and doesn't have teeth yet.,3.75,2.70099139213562
161, in that other bedroom there was blood splattered over the wall and the pillow.,6.0,3.09431529045105
162, There seems to be a dead body.,4.75,2.740649700164795
163, There were fire fighters at the scene and the car was pretty badly damaged as it had hit a pole.,5.75,3.4753689765930176
164, His left hand is on his hip.,6.25,2.6615140438079834
165, A woman has bruises on her face and it looks like she was punched in the eye and her eye is red as well.,5.25,3.3238656520843506
166, Boy staring up in fear.,4.5,4.037412643432617
167,Every second that they waste is a second that the Patriots don’t have to advance.,3.75,2.6896653175354004
168, A man has just hit a woman with blonde hair.,5.75,3.1863880157470703
169, Maybe a wedding? Reminds me of family portraits.,3.75,2.3346214294433594
170,"The high earners at the top of the pile serve as motivation to newbies, and a big part of what they sell isn’t a physical product at all, but the promise of independent wealth and success, whether it comes from selling yoga leggings or teaching yoga classes.",3.0,2.9743666648864746
171, Is the emotion rage or grief or shock.,1.25,5.091548442840576
172,"But when heterosexual men say they’re looking for something “drama-free,” I suspect they want something that doesn’t exist: a problem-free partnership with someone who has no life experience.",3.0,3.2152292728424072
173, A mother or woman is scolding a kid who appears to be sitting in a closet.,4.0,3.1093997955322266
174,A smiling man with a big mustache  .,6.0,3.741636276245117
175, The area around them is destroyed.,5.75,2.935767889022827
176, Cute baby crawling on a throw pillow.,4.0,2.348475217819214
177," this lady is screaming in the back with her hands up, while her man is looking moody at the front with his arms crossed.",3.75,2.6206936836242676
178,A mother is holding a chubby baby's hand and he is looking up.,5.75,3.351623296737671
179, a person has a hole where the nose should be and is missing an eye.,6.75,2.5337910652160645
180, He has a neutral face and is wearing black.,4.5,2.7149722576141357
181, Not a whole lot of feeling.,2.75,3.354039430618286
182,"I was coaching [another blogger], and they were more professional, clinical, and I started teaching them — ‘Okay, share more of your personality.",3.5,3.3373219966888428
183, More burn victim stuff.,4.75,2.9318931102752686
184, The signs are in a language I don't recognize.,4.75,2.7575416564941406
185," happened else where, gang behavior, the guy looks scared.",4.25,2.737285852432251
186, They are both wearing white and he looks very content and so does the child.,3.5,4.893738746643066
187, It looks incredibly painful.,2.25,2.9208316802978516
188, A girl sits at a desk and reads a book.,5.75,3.747140884399414
189,"In it, Rosen revealed for the first time the extent of the losses to music history that occurred during a fire at Universal Studios in 2008 that burned the masters of many important musical works.",6.0,2.853558301925659
190, He has blue eyes and is wearing a white button down and a blue/grey jacket.,7.0,3.212287425994873
191, You can see the person's lungs and heart and their stomach.,7.0,2.7475457191467285
192, Just a child laying down in the grass.,5.25,3.8677618503570557
193, a really disturbing picture of something wrong with a lady's breast.,3.75,2.8611409664154053
194, Her attention is engaged on something that is not within view.,7.0,2.88641357421875
195," Somewhere in the world, someplace in time, a masked man brandishes a knife.",7.0,3.058786153793335
196, He is wearing a beige tee.,7.0,2.8859593868255615
197, Looks like it is from the 90's or possibly early 2000's based on the telephone.,3.0,3.386676549911499
198, he has a cold stare on his face and a slight scowl.,4.75,3.2492599487304688
199," This is an image of a smiling, young baby.",6.5,2.663580894470215
200, An old man is standing in a kitchen area next to a fridge.,6.5,2.2753820419311523
201,A baby is crawling through dead leaves.,6.5,2.909477710723877
202, There is a guy behind him also upset because his mouth.,4.0,2.3806920051574707
203, The baby was in a hospital-like environment.,5.0,3.7948052883148193
204," Also, reading is good and getting learnt is awesome.",3.0,3.0485525131225586
205," Decades ago and in a country far away, a person held a gun threateningly at something.",5.75,3.195356845855713
206, the window looks frosted over somehow.,4.75,2.6737143993377686
207, A man is putting a gun against a woman's cheek.,6.0,3.7059149742126465
208,Cammie L: Thoughts are not the enemy!,2.75,2.784270763397217
209," There is a body corpse lying down on a yellow tarp, with his/her belongings.",5.5,2.700528383255005
210," He is holding a guitar, wearing a plaid red shirt.",6.5,3.036571979522705
211, the hand is bloody and is missing fingers.,6.5,3.4324746131896973
212," While it is pretty staged, it makes me feel bad as it reminds me of memories I try to forget.",2.5,2.726392984390259
213,"Another dead person, or maybe still slightly alive.",4.5,2.4773526191711426
214, She might be a brownie.,3.25,2.804861068725586
215,"A woman's face is completely smeared with blood, except her eye area is clean.",7.0,3.3130898475646973
216,And the same thing the other way around...,2.25,3.032585620880127
217," It's a little shocking, but not entirely disturbing.",2.25,2.686020851135254
218, The chef holding the baby looks so happy and the baby looks adorable in their little bonnet.,3.25,3.2820537090301514
219, Someone murdered him.,6.5,3.318976402282715
220, someone is point at another person's head using his gun.,6.75,2.811964750289917
221, It is a nice image of the two boys intent.,2.25,5.805498123168945
222,Bilal first heard about the promise of affiliate marketing blogging on Pinterest.,7.0,3.142240047454834
223,"In an image-centered and pleasure-driven world, Postman noted, there is no place for rational thinking, because you simply cannot think with images.",3.0,2.3160266876220703
224, I do not think that a lot is going on in this picture.,2.0,3.425252914428711
225, A girl has a very bloodied and cut up face and looks severely mutilated.,6.0,2.9190831184387207
226,"She also expressed concern that the numbers are higher, at least on OkCupid, the younger the men get.",4.5,3.1427507400512695
227, It is propped up on its elbows.,6.25,2.752307653427124
228," The picture is fairly unclear but I can make out a hand, an arm and what looks to be a body.",4.25,3.099524736404419
229," A man is slicing a woman's throat, scary, killing silently.",4.0,3.0157313346862793
230, there is a crowd behind him.,7.0,2.791067600250244
231, Some surgeons stand over an operating table with tools in their hands.,7.0,3.7338528633117676
232, I am not so sure what he is thinking.,1.75,2.7162413597106934
233, There is a mans face that is badly disfigured.,5.0,2.649885654449463
234, There is a white truck in focus.,6.75,3.3310494422912598
235, There is a baby that has been very badly injured and is hopefully receiving medical attention .,4.5,2.714890480041504
236, A woman is showing a scar on her hip area.,7.0,2.97330641746521
237,The literal physical destruction of film stock for its more-valued component parts feels like a fitting metaphor for the general willingness to let cultural heritage dissolve into the ether.,2.75,2.9806900024414062
238,The Alamo Complex and Alamo Plaza are considered cemeteries under the law.,7.0,2.540559768676758
239, There is a man who is in a hospital bed and is holding onto a metal bar above him.,6.75,2.682992935180664
240, His skin tone is very red/orange and he looks like he is in the middle of saying something.,5.0,3.089078903198242
241, She had earrings on .,6.25,3.255594253540039
242, it looks like they're at an event.,4.5,2.3893210887908936
243,"Once upon a time, women had voluminous pockets, though not always attached to their clothes.",5.5,2.6737241744995117
244, He looks at a man in a suit.,6.25,2.8874425888061523
245, One is going to open the left door.,6.75,4.184315204620361
246, there is a woman that seems to be sad and another woman is comforting her .,3.75,3.2478585243225098
247, the parents are wearing black.,6.75,3.125854969024658
248, All of them are tied up and naked.,6.5,2.943474769592285
249,"Pockets, Carlson says, imbue their owners with many attributes both sexes desire equally: being prepared, mobile and hands-free.",5.0,3.026552200317383
250, They are throwing their friend in the air.,6.75,2.5415499210357666
251, His smile looks scary.,2.5,3.8330373764038086
252, Nothing is being done much in this scene.,3.0,3.1600427627563477
253,"And the simple fact of the matter is that streaming is, as of yet, unable to serve as a replacement for the vast oceans of VHS tapes and DVDs that cluttered up your local rental shop.",1.25,2.681253433227539
254, She looks like she's really into the book.,1.75,3.209480047225952
255, His mother is carrying him.,7.0,2.472846508026123
256, She has a lot of tubs connected to her and may be a little sick or unwell.,7.0,2.6291420459747314
257,They effectively democratized the ability to contribute to the global corpus of knowledge.,2.75,2.929117441177368
258, his hair is swept to one side and he has blue eyes.,7.0,2.993645429611206
259, A man with a bandana over his nose and mouth is holding a gun while looking off to the side.,7.0,3.7798044681549072
260, There is scene of murder and  blood.,7.0,2.9208269119262695
261,"This is an image of an individual next to a window; they are wearing blue pants, and it is snowing outside.",7.0,2.463010549545288
262," He is receiving treatment, maybe in an ambulance.",6.0,2.7851579189300537
263," good life, living well, looks happy.",2.25,2.6665472984313965
264, I'm assuming the baby is a girl because her ears are pierced.,3.5,3.812919855117798
265, There is an old man wearing a jacket and a button-up shirt.,6.5,2.4196786880493164
266," This is a graphic picture of a person, bloodied and with much damage done to their face.",6.5,2.215735673904419
267,I'm disappointed because this poor kid is crying while someone holds him from behind.,2.25,2.8581299781799316
268, Hope the death was quick.,2.0,2.6762866973876953
269, There is a person who looks dead and has an open wound on its chest and its body is covered in blood unfortunately.,3.25,6.288837909698486
270,"There have been many studies around how people consume media, and they have all found that the problem isn't what people think it is.",3.25,2.577545166015625
271, His burn's are on his face and look relatively recent.,3.25,3.2978076934814453
272, The child appears to be distraught.,3.25,3.97090482711792
273," A burned body, it almost looks inhuman or made of stone.",3.75,3.0825178623199463
274,Tommasiello originally gained online attention for being a fixture in the NYC club and party scene; his Instagram handle is tattooed on his right wrist.,6.5,3.4682726860046387
275, She is wearing a hat and long socks.,6.75,2.813936233520508
276," They are in the middle of an argument and the woman is like ""what am I supposed to do"".",4.0,3.07711124420166
277, There is a man holding a knife to her throat.,7.0,2.8068299293518066
278," Long time ago, far away, someone masked was looking evilly ahead, ready to pounce.",6.25,5.8256731033325195
279, disagreement between mother daughter and mom looks confused.,4.25,3.572511911392212
280, Just a crusty looking white girl.,2.75,5.446073055267334
281,A man is yelling at a woman and is pointing his hands at her.,7.0,3.5656609535217285
282, These three boys are looking at something off camera that is funny and exciting to them.,6.75,2.41268253326416
283, They seem to have an infection of some kind and it looks like alien slugs.,2.75,4.934230804443359
