,response,score,observed
0, Like he's looking out and trying to think about his life.,1.75,4.091039657592773
1, A man has a knife close to the throat of a woman somewhere very far away from me in the past.,6.5,2.5485544204711914
2, He is in a kitchen that is kind of bare.,4.0,3.435880184173584
3, A man is staring at the camera and looks upset.,2.75,3.13442325592041
4, A woman is holding a child.,6.0,2.467034339904785
5, A woman was scolding a man.,5.75,3.0717780590057373
6,There is an elderly man looking outside the window.,5.75,2.4240057468414307
7," A girl's body is lying out, and part of her face is missing.",5.75,3.2097666263580322
8,This occurred a long time ago.,6.5,3.224825382232666
9,There is a policeman attacking a man.,5.25,3.7464334964752197
10," I don't really feel anything looking at this photo, but I am curious about what he's looking at in the distance.",2.75,3.425252914428711
11, The picture is blurred from being taken while in motion.,5.75,2.394333839416504
12, the man has brown hair.,6.5,3.646409749984741
13, She has a 90's style.,4.25,5.544145584106445
14, This makes me feel neutral.,1.5,2.9709420204162598
15, she is balancing on one leg and is standing in the shadow.,6.5,2.7038183212280273
16, There is a woman on the phone and she is balancing on one foot while talking.,6.5,3.924712657928467
17, He has a unibrow and the old photo makes his whole face look funny.,3.5,3.609621047973633
18, The woman is grabbing the man and looking angrily towards him.,4.5,2.2534263134002686
19, a very bloody picture from the 90s medical textbook or something of someone who was in a car accident or something.,4.25,2.7461156845092773
20," There are a group of men who are engaged at a car, with weapons such as a baseball bat, and pistol.",5.25,2.78910493850708
21, The skin has been burned through this person.,6.25,2.022592306137085
22, her nails look cute.,2.5,2.7615675926208496
23, There is a man staring directly into the camera.,5.25,3.1616432666778564
24," white man working outside shop, food store, cutting meat? different language, Italian I think, .",4.0,2.973749876022339
25,"there is a man looking ahead, he is smiling.",6.5,3.4574992656707764
26, A woman is holding a man's face that has been affected by a gunshot wound.,6.25,3.179975748062134
27, A man is threatening another man and this image makes me feel worried for the threatened person.,3.0,3.850773811340332
28, I would love to just curl up on that window on a snowy day as shown and read a book or drink hot chocolate.,2.25,2.868370532989502
29, his eyes are open and he looks conscious.,6.75,2.995215654373169
30, I just want to pinch its little cheeks.,2.5,3.1747400760650635
31,A baby is deformed after birth.,4.0,2.627030849456787
32,"Acknowledging my passive suicidal ideation didn’t give it more life; it gave me more life, empowering me to dig into the emotional dirty work.",2.0,2.971714973449707
33, One eye is gone and their mouth and nose skin have burnt.,6.75,3.004790782928467
34, It seems like the man is offended or wary of the woman and the lady almost has a smile.,2.5,2.931143283843994
35,"Someone's head is badly injured, probably about to head into surgery, the eyes could barely open.",4.0,3.512240409851074
36, His face is not visible.,6.25,6.232851982116699
37, and the baby has a cute expression .,2.25,3.7212514877319336
38," In another country, there's something that I'm not sure if is completely human, but has a human-like face, that's white and covered in blood with a badly misshaped nose, eye.",3.0,2.3004448413848877
39, A woman cried as another woman helped her in a country far from here many years ago.,6.25,2.9541704654693604
40, The hand is holding a knife.,6.75,3.5917255878448486
41,"Rather, The Mission Heritage Tours seek to tell the untold story.",5.25,2.76353120803833
42," There is a severely wounded hand in this photo, it seems practically blown apart.",4.25,2.9062633514404297
43, Several men are shown in what appears to be the back of a truck; they are all wearing hats and their hands are bound above their heads to the side of the truck.,5.25,3.422165632247925
44,There is a man telling a woman something but she does not want to hear it.,4.75,3.8282275199890137
45," Unlike the other picture, this woman has the gun raised and aimed.",7.0,3.1882529258728027
46, There is a judge that seems disappointed with a situation.,2.0,3.773716926574707
47, a picture from a hospital in the 90's where a man has his arms up and is attached to a drip.,5.75,3.143512487411499
48, A stern faced man wearing a hat is crossing his arms and looking at the camera.,5.25,4.69542932510376
49, It seems like it is a rather sinister mask and could potentially be for a bank robbery.,4.0,3.475271701812744
50, Is SVR the soviet union? Is this a soldier? .,2.75,2.3750386238098145
51, he is wearing a shirt with a plaid collar .,7.0,6.043728828430176
52, there is a chef holding a baby.,6.5,5.091733932495117
