Serial,Text Response,OBJECTIVE RATING_1,FAR RATING_1,OBJECTIVE RATING_2,FAR RATING_2,OBJECTIVE RATING_3,FAR RATING_3,OBJECTIVE RATING_4,FAR RATING_4,OBJECTIVE RATING_5,FAR RATING_5,OBJECTIVE RATING_6,FAR RATING_6,OBJECTIVE RATING_7,FAR RATING_7,OBJECTIVE RATING_8,FAR RATING_8,,,AVG_OBJ,AVG_FAR
1, Like he's looking out and trying to think about his life.,2,1,2,1,2,1,1,1,,,,,,,,,,,1.75,1
2, A man has a knife close to the throat of a woman somewhere very far away from me in the past.,7,7,6,7,6,7,7,7,,,,,,,,,,,6.5,7
3, He is in a kitchen that is kind of bare.,5,1,4,1,3,1,4,1,,,,,,,,,,,4,1
4, A man is staring at the camera and looks upset.,4,2,3,3,3,1,1,1,,,,,,,,,,,2.75,1.75
5, A woman is holding a child.,7,2,3,2,7,1,7,1,,,,,,,,,,,6,1.5
6, A woman was scolding a man.,6,6,5,6,5,6,7,6,,,,,,,,,,,5.75,6
7,There is an elderly man looking outside the window.,7,2,3,5,6,1,7,1,,,,,,,,,,,5.75,2.25
8," A girl's body is lying out, and part of her face is missing.",5,3,5,3,7,1,6,1,,,,,,,,,,,5.75,2
9,This occurred a long time ago.,7,7,6,7,6,7,7,7,,,,,,,,,,,6.5,7
10,There is a policeman attacking a man.,6,1,3,1,5,1,7,1,,,,,,,,,,,5.25,1
11," I don't really feel anything looking at this photo, but I am curious about what he's looking at in the distance.",1,4,5,4,4,4,1,4,,,,,,,,,,,2.75,4
12, The picture is blurred from being taken while in motion.,7,4,3,2,6,2,7,1,,,,,,,,,,,5.75,2.25
13, the man has brown hair.,7,2,5,2,7,2,7,1,,,,,,,,,,,6.5,1.75
14, She has a 90's style.,4,2,6,4,4,2,3,1,,,,,,,,,,,4.25,2.25
15, This makes me feel neutral.,1,1,2,3,2,1,1,1,,,,,,,,,,,1.5,1.5
16, she is balancing on one leg and is standing in the shadow.,7,3,6,3,6,2,7,1,,,,,,,,,,,6.5,2.25
17, There is a woman on the phone and she is balancing on one foot while talking.,7,3,5,4,7,2,7,1,,,,,,,,,,,6.5,2.5
18, He has a unibrow and the old photo makes his whole face look funny.,4,4,5,3,2,4,3,1,,,,,,,,,,,3.5,3
