,Serial,Sentence,Objective Rating,Far Away Rating
8595,8936, She has blonde hair.,7.0,1.6666666666666667
5343,5684, There is a boy with a gun aimed at you.,4.0,2.0
8393,8734,This boy looks very distressed and he might get kidnapped because there are two men grabbing him from behind.,4.333333333333333,1.3333333333333333
6420,6761,the baby was skinny a long time ago.,2.0,7.0
4059,4400, They both seem to be distressed about something.,2.0,1.0
9812,10153," He is also wearing a hat, there are many people in chairs behind him.",6.0,2.5
8013,8354, This is really painful to watch.,2.0,4.0
4896,5237, THERE is a small girl who is against the wall and is taking a photo.,7.0,4.0
3558,3559, A woman is scolding her child who is sitting in a closet.,5.0,4.0
331,332, A gun is being held by two hands with the fingers on the trigger.,7.0,1.0
8529,8870, The guy is crossing his arms and he looks grumpy.,3.6666666666666665,1.6666666666666667
6700,7041,"Boredom is an indicator that something deeper is just around the corner, and if you can stick it out a minute longer, it will bear fruit.",2.0,6.0
9508,9849,"After about six months, he said, ‘Make sure to tag me in your Instagram story!’ and I broke up with him because that made me question why he was really with me.",3.5,5.5
6417,6758, There is mayo in the fridge.,7.0,5.0
10093,10635, I am not sure if he is alive or not.,1.5,2.0
9941,10282,"While they each of the missions are steeped in history, the Alamo, has long been an icon for San Antonio.",6.0,1.0
914,915, The disfigured body of a young child.,4.5,1.0
1463,1464, The man is posing for the camera.,6.0,4.5
7919,8260, There is an image of a black woman that is putting her hair up.,5.0,3.0
4479,4820, Seems like there is a lot the man is trying to say but isn't able to.,4.0,1.0
1436,1437, it looks more like a real photo than the other ones.,2.0,5.0
5745,6086," She seems stressed about something, like she has something bothering her on her mind.",3.0,
7746,8087, It looks like fun.,1.0,2.0
1088,1089, He doesn't seem well .,2.0,4.0
5977,6318,"child crying, tears streaming down face, being hugged by adult, another adult in the back that looks sad as well, can't see man hugging child.",7.0,
10672,11214, This is a picture of a person's throat that has been cut and has bloodied the neck area and the face.,7.0,4.0
2962,2963, there is a man holding a knife to a woman's throat.,7.0,3.0
10259,10801, This picture troubles me.,1.0,2.5
1892,1893, They have seem to be destructed or killed in some way.,4.5,3.0
2921,2922," Young Hispanic boy crossed arms looking at camera, casual clothes, red tee and jeans, smirking, nice lighting, dusk, long black hair.",5.0,3.0
243,244,"Once upon a time, women had voluminous pockets, though not always attached to their clothes.",7.0,5.0
4433,4774, the man with the gun looked angry and the person he was holding was afraid.,3.0,3.0
8040,8381, They are gripping onto the edge.,6.0,2.0
4335,4676, the wife was very angry with her husband and was picking up on him in the kitchen.,7.0,1.0
2455,2456, The wall behind him is totally spattered with his blood.,5.0,3.0
4348,4689,I was mesmerized.,1.0,3.0
8078,8419,"I stopped having to consciously focus on the repeated words themselves, and instead, discovered that the repetitive chant had become like a familiar, patterned backdrop; it was a backdrop woven of words that helped settle my mind and invite my being into a state of rest.",4.0,4.0
928,929, Men around car with bats and sticks.,7.0,1.0
5862,6203," In a time 100 years in the future multiple people lie bloodied, naked, and dead in the dirt.",7.0,
7878,8219," long time ago, far away, a little girl was screaming as her family members were shot and lied on the ground.",6.0,7.0
2179,2180,We NEED to know: What lipstick is AOC wearing?!,4.0,2.0
9226,9567,"In a faraway country many years ago, a man was held down against his will by a la.",6.0,7.0
6943,7284,"“To overreact can be counterproductive,” Doughty says.",2.0,5.0
2951,2952, A man has what looks like burn injuries on his face.,4.0,2.0
904,905," He has several large cuts with stitches along his body, as well as a tube sticking out of his chest.",7.0,1.0
895,896," this man is in a bedroom with lots of guns, his face looks plain and peaceful, he has a mask on.",3.5,3.5
4043,4384, There is a woman who looks like she had been crying.,2.0,7.0
4181,4522, there's lots of blood and you can see underneath the flesh.,7.0,1.0
10484,11026, there was blood on his hand.,7.0,4.0
10328,10870,"And then, two months later, on inauguration weekend, demonstrators came to Comet with signs reading “GOT AIDS YET?"" ” and a megaphone to call me a “faggot” and “pedophile” and our neighborhood Sodom and Gomorrah.",6.5,2.5
5836,6177, I hate wounds and scars.,1.0,
11912,12954," The mother is gesturing with her finger at her child, which is sitting down and crossing his arms inside a cabinet looking.",5.0,5.0
8546,8887, the young boy is covered in blood.,6.333333333333333,1.3333333333333333
8540,8881, I wonder who it is or if they're coming soon.,3.0,2.0
7295,7636, The only thing you can really see are the eyeholes everything else is super grainy and not very detailed.,6.0,1.0
9413,9754," This is really gross, it looks like this mans throat has been slit open and he is about to bleed out and die.",4.5,2.5
4155,4496," Her face is blown off, half of her head is gone.",4.0,2.0
6872,7213,"But even if these algorithms worked perfectly, ubiquitous face scanning still poses an enormous threat to the future of human freedom.",4.0,5.0
8592,8933,"We do not inherit the earth from our ancestors, we borrow it from our children.",3.6666666666666665,4.0
4080,4421," It looks like he's trying to take an intense, intimidating picture, but it's just for memes.",4.0,2.0
1040,1041, Two parents are arguing while their daughter is watching.,5.0,3.0
5629,5970, This pictures makes me happy because going to the beach is super fun especially when you're a kid and you can play in the sand an the water.,4.0,5.0
2240,2241,"After a few months of excruciatingly reciting the same words over and over for 40 minutes straight, something changed.",5.0,4.0
1406,1407, Two men are having a confrontation.,4.0,2.5
9461,9802, A child is in a stroller/wheelchair.,6.5,2.5
1032,1033,"It’s gotten better, though,” she says.",2.5,3.5
11761,12803," Somewhere in the world, somewhere in the past, a man with an earring points.",6.0,7.0
1541,1542, Can't tell if he looks nice like a good dad like guy or if he looks like someone who would exploit you .,2.0,2.0
6319,6660,Someone is lying next to a window in the winter.,3.0,5.0
2206,2207, Their teeth are all crowded together.,6.0,2.0
5228,5569, His hair has also been burned off.,5.0,5.0
7326,7667,  a man holding a violin at a concert or something.,4.0,2.0
8409,8750,"“If someone comments on my picture in those first 10 minutes, I make sure to reply and comment on one of their pictures in return.",2.3333333333333335,2.0
4912,5253," 5 years ago, the girl was standing in the middle of the forest.",7.0,2.5
1671,1672, The three men are laughing happily.,3.0,2.0
4791,5132, The guy looks like he belongs in WALL-E and they are in such a boring looking bedroom I'm not surprised they don't wanna talk to each other.,2.5,4.0
1223,1224, there is a man with a wounded shoulder being directed by soldiers somewhere .,6.5,4.0
2896,2897, Many men sit in a ditch and seem to be huddled together.,4.0,2.5
1274,1275, She has a ring on her wedding finger and jewelry on.,6.5,3.5
9172,9513, There are officers behind him dressed in.,4.0,3.0
1130,1131, The officers stand behind them.,6.5,2.0
11149,12191, they are very beautiful kids too .,1.0,1.0
3209,3210," I feel bad for them, but not very.",1.5,1.0
8401,8742, There is a man showing the side of his face and it looks like he's been burned or in a fire due to the scaling of his skin.,4.666666666666667,3.0
10684,11226," I don't think we would be friends,  but she looks nice enough.",3.0,3.0
5604,5945, The boy seems surprised at what he is looking at.,3.0,4.0
10378,10920, Could be an album cover.,2.5,3.0
1595,1596, There is a man who appears to be about to say something.,2.5,2.0
1827,1828, His hat and tie match.,4.0,1.5
11694,12736, A dead woman whose body appears to have been tampered with or submerged in some fluid.,4.0,5.0
5674,6015, This image makes me feel happy.,1.0,
3886,4227,Consider Slate’s reporting on the algorithms that review security camera footage.,7.0,5.0
9623,9964, A boy's face is injured.,6.0,2.5
2791,2792, There are a group of workers who seem to be all wearing protective gear and working on something together .,4.0,2.5
3289,3290, One man is holding a gun at the other man's head.,7.0,2.0
8443,8784,Child reaching out for someone's finger.,6.0,3.0
3408,3409, He is covering his ears in order to not be .,6.0,2.0
9144,9485, A police officer comes into a crime scene where the bony man is shot on his heart and robbed of his belongings since his holes are inside out.,5.0,3.0
642,643,"A person or corpse, there is a massive cut in the side of their face and their eyes also seem gauged out or bloody.",5.5,3.0
5979,6320, the teacher is talking to the student that she is proud of.,3.0,
9886,10227," There is a baby with a towel around, probably taking a photoshoot.",2.0,1.0
10505,11047, A woman is pulling on a man's shirt.,6.0,4.0
54,55, Looks to be a police photograph.,4.0,4.0
5349,5690, Has short hair and closed eyes.,4.0,3.0
