[ROOT-INFO]: 2019-07-15 19:20:21,360: Testing Notes: Objective Distancing - Sentiment Sentence Level - rawScore * subjectivityOnly
[ROOT-INFO]: 2019-07-15 19:20:21,360: Objective Analysis Initialized
[REAPPRAISAL-INFO]: 2019-07-15 19:20:45,496: spaCy Library Loaded
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,496: Model Initialized
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,547: Old Score: 3.9166666666666665, New Score: 0.03916666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,563: Old Score: 3.3617021276595747, New Score: 1.34468085106383
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,580: Old Score: 4.5625, New Score: 0.045625
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,595: Old Score: 4.8085106382978715, New Score: 3.051554828150572
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,595: Old Score: 4.51063829787234, New Score: 2.25531914893617
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,617: Old Score: 4.8085106382978715, New Score: 4.327659574468084
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,639: Old Score: 3.391304347826087, New Score: 1.4243478260869566
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,649: Old Score: 3.208333333333333, New Score: 0.03208333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,667: Old Score: 3.234042553191489, New Score: 0.03234042553191489
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,683: Old Score: 3.6170212765957452, New Score: 2.5319148936170217
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,699: Old Score: 4.127659574468085, New Score: 0.04127659574468085
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,700: Old Score: 3.8297872340425534, New Score: 3.8297872340425534
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,715: Old Score: 4.326086956521738, New Score: 0.04326086956521739
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,732: Old Score: 4.51063829787234, New Score: 1.804255319148936
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,732: Old Score: 3.808510638297872, New Score: 2.2851063829787233
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,748: Old Score: 4.0638297872340425, New Score: 2.4382978723404256
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,766: Old Score: 3.6739130434782608, New Score: 1.2246376811594202
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,782: Old Score: 4.375, New Score: 0.7777777777777778
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,800: Old Score: 4.723404255319148, New Score: 2.558510638297872
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,833: Old Score: 4.833333333333333, New Score: 0.04833333333333333
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,851: Old Score: 5.297872340425532, New Score: 1.89209726443769
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,868: Old Score: 5.1914893617021285, New Score: 0.051914893617021285
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,871: Old Score: 5.5, New Score: 0.055
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,905: Old Score: 4.680851063829787, New Score: 2.054373522458629
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,922: Old Score: 3.7083333333333335, New Score: 0.7416666666666667
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,940: Old Score: 3.7446808510638303, New Score: 3.5574468085106385
[REAPPRAISAL-DEBUG]: 2019-07-15 19:20:45,957: Old Score: 5.9361702127659575, New Score: 0.05936170212765957
