,response,score,observed
0, Like he's looking out and trying to think about his life.,1.0,4.976798057556152
1, A man has a knife close to the throat of a woman somewhere very far away from me in the past.,7.0,4.711975574493408
2, He is in a kitchen that is kind of bare.,1.0,5.344964504241943
3, A man is staring at the camera and looks upset.,1.75,3.1751527786254883
4, A woman is holding a child.,1.5,5.836705684661865
5, A woman was scolding a man.,6.0,5.642508029937744
6,There is an elderly man looking outside the window.,2.25,3.088669776916504
7," A girl's body is lying out, and part of her face is missing.",2.0,2.7584228515625
8,This occurred a long time ago.,7.0,4.657167911529541
9,There is a policeman attacking a man.,1.0,4.641480922698975
10," I don't really feel anything looking at this photo, but I am curious about what he's looking at in the distance.",4.0,6.3577985763549805
11, The picture is blurred from being taken while in motion.,2.25,5.996687889099121
12, the man has brown hair.,1.75,3.958430767059326
13, She has a 90's style.,2.25,5.312744140625
14, This makes me feel neutral.,1.5,5.611833572387695
15, she is balancing on one leg and is standing in the shadow.,2.25,5.30181360244751
16, There is a woman on the phone and she is balancing on one foot while talking.,2.5,2.7938785552978516
17, He has a unibrow and the old photo makes his whole face look funny.,3.0,4.133404731750488
18, The woman is grabbing the man and looking angrily towards him.,1.5,4.367020606994629
19, a very bloody picture from the 90s medical textbook or something of someone who was in a car accident or something.,6.0,4.386774063110352
20," There are a group of men who are engaged at a car, with weapons such as a baseball bat, and pistol.",3.25,5.849205493927002
21, The skin has been burned through this person.,1.25,5.247830867767334
22, her nails look cute.,1.0,5.7022294998168945
23, There is a man staring directly into the camera.,2.25,4.668863296508789
24," white man working outside shop, food store, cutting meat? different language, Italian I think, .",2.75,3.461681842803955
25,"there is a man looking ahead, he is smiling.",1.75,3.3891968727111816
26, A woman is holding a man's face that has been affected by a gunshot wound.,1.5,3.730499267578125
27, A man is threatening another man and this image makes me feel worried for the threatened person.,2.25,3.5305075645446777
28, I would love to just curl up on that window on a snowy day as shown and read a book or drink hot chocolate.,3.0,4.383083820343018
29, his eyes are open and he looks conscious.,1.0,4.928170204162598
30, I just want to pinch its little cheeks.,1.25,4.3812174797058105
31,A baby is deformed after birth.,1.75,5.192482948303223
32,"Acknowledging my passive suicidal ideation didn’t give it more life; it gave me more life, empowering me to dig into the emotional dirty work.",2.0,2.9679253101348877
33, One eye is gone and their mouth and nose skin have burnt.,1.75,5.236865520477295
34, It seems like the man is offended or wary of the woman and the lady almost has a smile.,4.0,5.582382678985596
35,"Someone's head is badly injured, probably about to head into surgery, the eyes could barely open.",2.25,4.934454917907715
36, His face is not visible.,1.5,5.720653057098389
37, and the baby has a cute expression .,1.75,5.027790069580078
38," In another country, there's something that I'm not sure if is completely human, but has a human-like face, that's white and covered in blood with a badly misshaped nose, eye.",4.75,4.6728925704956055
39, A woman cried as another woman helped her in a country far from here many years ago.,7.0,5.912986755371094
40, The hand is holding a knife.,2.5,4.008088111877441
41,"Rather, The Mission Heritage Tours seek to tell the untold story.",2.75,3.965630292892456
42," There is a severely wounded hand in this photo, it seems practically blown apart.",3.25,3.4183406829833984
43, Several men are shown in what appears to be the back of a truck; they are all wearing hats and their hands are bound above their heads to the side of the truck.,2.75,3.7171778678894043
44,There is a man telling a woman something but she does not want to hear it.,3.0,4.054963111877441
45," Unlike the other picture, this woman has the gun raised and aimed.",3.0,5.484673023223877
46, There is a judge that seems disappointed with a situation.,3.0,3.961479663848877
47, a picture from a hospital in the 90's where a man has his arms up and is attached to a drip.,5.0,6.452914714813232
48, A stern faced man wearing a hat is crossing his arms and looking at the camera.,2.75,6.6841607093811035
