,response,score,observed
0, Like he's looking out and trying to think about his life.,1.75,3.6446051597595215
1, A man has a knife close to the throat of a woman somewhere very far away from me in the past.,6.5,3.5198802947998047
2, He is in a kitchen that is kind of bare.,4.0,4.723552703857422
3, A man is staring at the camera and looks upset.,2.75,3.217245101928711
4, A woman is holding a child.,6.0,2.471937417984009
5, A woman was scolding a man.,5.75,3.262221574783325
6,There is an elderly man looking outside the window.,5.75,2.587756633758545
7," A girl's body is lying out, and part of her face is missing.",5.75,3.085421323776245
8,This occurred a long time ago.,6.5,2.732532501220703
9,There is a policeman attacking a man.,5.25,2.8773140907287598
10," I don't really feel anything looking at this photo, but I am curious about what he's looking at in the distance.",2.75,2.7158894538879395
11, The picture is blurred from being taken while in motion.,5.75,3.015333890914917
12, the man has brown hair.,6.5,2.736752510070801
13, She has a 90's style.,4.25,3.97090482711792
14, This makes me feel neutral.,1.5,3.0110292434692383
15, she is balancing on one leg and is standing in the shadow.,6.5,3.030292510986328
16, There is a woman on the phone and she is balancing on one foot while talking.,6.5,2.6939074993133545
17, He has a unibrow and the old photo makes his whole face look funny.,3.5,2.221611499786377
18, The woman is grabbing the man and looking angrily towards him.,4.5,2.9556832313537598
19, a very bloody picture from the 90s medical textbook or something of someone who was in a car accident or something.,4.25,2.775625705718994
20," There are a group of men who are engaged at a car, with weapons such as a baseball bat, and pistol.",5.25,3.38753080368042
21, The skin has been burned through this person.,6.25,3.467886209487915
22, her nails look cute.,2.5,2.258951425552368
23, There is a man staring directly into the camera.,5.25,3.10040283203125
24," white man working outside shop, food store, cutting meat? different language, Italian I think, .",4.0,2.7821733951568604
25,"there is a man looking ahead, he is smiling.",6.5,2.4361188411712646
26, A woman is holding a man's face that has been affected by a gunshot wound.,6.25,3.0776681900024414
27, A man is threatening another man and this image makes me feel worried for the threatened person.,3.0,4.591449737548828
28, I would love to just curl up on that window on a snowy day as shown and read a book or drink hot chocolate.,2.25,3.7966361045837402
29, his eyes are open and he looks conscious.,6.75,3.0864179134368896
30, I just want to pinch its little cheeks.,2.5,3.1228673458099365
31,A baby is deformed after birth.,4.0,3.599961757659912
32,"Acknowledging my passive suicidal ideation didn’t give it more life; it gave me more life, empowering me to dig into the emotional dirty work.",2.0,3.5081863403320312
33, One eye is gone and their mouth and nose skin have burnt.,6.75,3.1484880447387695
34, It seems like the man is offended or wary of the woman and the lady almost has a smile.,2.5,2.906243324279785
35,"Someone's head is badly injured, probably about to head into surgery, the eyes could barely open.",4.0,3.070734977722168
36, His face is not visible.,6.25,3.0147593021392822
37, and the baby has a cute expression .,2.25,2.6530303955078125
38," In another country, there's something that I'm not sure if is completely human, but has a human-like face, that's white and covered in blood with a badly misshaped nose, eye.",3.0,2.6881942749023438
39, A woman cried as another woman helped her in a country far from here many years ago.,6.25,3.1149849891662598
40, The hand is holding a knife.,6.75,3.5094761848449707
41,"Rather, The Mission Heritage Tours seek to tell the untold story.",5.25,3.272911548614502
42," There is a severely wounded hand in this photo, it seems practically blown apart.",4.25,2.2587804794311523
43, Several men are shown in what appears to be the back of a truck; they are all wearing hats and their hands are bound above their heads to the side of the truck.,5.25,2.708831787109375
44,There is a man telling a woman something but she does not want to hear it.,4.75,2.1520309448242188
45," Unlike the other picture, this woman has the gun raised and aimed.",7.0,2.7033908367156982
46, There is a judge that seems disappointed with a situation.,2.0,3.108078718185425
47, a picture from a hospital in the 90's where a man has his arms up and is attached to a drip.,5.75,3.4089715480804443
48, A stern faced man wearing a hat is crossing his arms and looking at the camera.,5.25,3.097219228744507
49, It seems like it is a rather sinister mask and could potentially be for a bank robbery.,4.0,2.235095977783203
50, Is SVR the soviet union? Is this a soldier? .,2.75,3.4774975776672363
51, he is wearing a shirt with a plaid collar .,7.0,2.695422410964966
52, there is a chef holding a baby.,6.5,5.300007343292236
53, A burned kid with a lot of injuries and blood on his body laying on a bed.,6.5,3.092343330383301
54, Looks to be a police photograph.,3.0,2.0811715126037598
55, A child and a woman are looking up at something and both seem interested.,3.75,3.179903745651245
56," If this is a person, what happened to them? Can barely make out their features, but I can't judge .",2.0,4.267309188842773
57, The man seems to be shouting or something.,3.25,3.4122567176818848
58, he has a dark shirt.,5.75,3.0320215225219727
59, She has a notebook in front of her and is wearing a large suit with pearls.,6.0,4.820745468139648
60," he has brown hair, tan, shirt dark.",6.25,2.9411652088165283
61, The man is hot and has a violin that he wants to play for the ground.,3.25,3.6908187866210938
62, A person is holding a gun towards the camera somewhere very far away from me with two other people on either side of the person holding the gun.,5.5,3.3727381229400635
63, The man looks like he spotted someone he knew far off in the distance.,3.0,2.5437405109405518
64, There was a man who just finished punching a woman in the face it looks like and the woman recoiled back because .,4.0,2.7945122718811035
65," a long time ago, a man grabbed a woman by her neck as she resisted and grabbed his arm to pull away.",6.5,3.359926700592041
66, Guy on couch is having a chill time .,5.25,3.277069568634033
67,Historic evidence is shelved.,5.75,2.9335522651672363
68," He is young in age so this cant happen to you now at this day and age, he probably spilled something or hid bc he knew he was in trouble.",3.0,2.9474806785583496
69, This took place in a location far away and occurred a long time ago.,6.5,5.117380619049072
70,Gui estimates that she spends around three to four hours on Instagram per day on average.,5.75,2.9726758003234863
71," In a different country, there is a man pictured in a hospital with his chest exposed and his mouth and nose strapped into a breathing machine.",6.25,2.7450199127197266
72, This is an image of a teacher who is in the middle of saying something.,6.25,3.087599515914917
73, There are three men all standing in black and white tuxedos.,6.75,3.1258485317230225
74,There are many terrible examples of this.,3.0,3.0860328674316406
75,"Again, that's a stunning 99 percent chance to win based on the score, along with the fact that the Falcons had the ball with almost a sure field goal.",2.5,3.0330042839050293
76, an old picture from a medical textbook showing someone who has had their neck cut.,5.5,2.8246970176696777
77,"We know our customers, and we know each other.",3.5,3.0225796699523926
78," there is an old man with swollen and potentially infected skin below his eyes/eyebag area, his eyes are teary .",5.0,5.050341606140137
79," like yesterday, I feel intimidated and awkward by the guy with pretty eyes staring me in the face.",2.25,2.5698084831237793
80,"The GLO, is discounting people because they are indigenous to Texas, materially less off, or because they couldn’t place a granite monument up that would last 300 years.",5.5,2.3802576065063477
81, A woman disciplines a kid hiding in the closet.,6.0,3.168901205062866
82, There a group of men who seem to be holding someone up in a car.,5.0,3.461398124694824
83, Would like to meet these men they seem wholesome and friendly I feel relaxed.,3.25,3.3661937713623047
84, He seems like he's got a lot on his mind.,1.75,4.7786865234375
85, someone's hand is extremely mutilated.,6.5,3.091686248779297
86,"San Francisco, Oakland, and Somerville, Massachusetts, recently became the first cities in the country to ban the technology.",6.75,2.455878734588623
87, Seems quiet like no one's bothering her.,3.5,2.9331114292144775
88,A neonate hooked up to tubes.,6.5,2.7345218658447266
89, I like the film aesthetic .,1.5,3.211298704147339
90, If it is not fake this person has gone through a serious injury.,2.0,2.2159976959228516
91,"I’ve been blogging for two years on this blog and let me tell you, starting a mom blog was the best decision I ever made.",1.75,2.8777377605438232
92, This is a picture of a hand holding a revolver.,7.0,3.242123603820801
93,This guy looks really tired and maybe a bit upset because the picture gives off a depressing vibe.,2.75,2.4950878620147705
94, very happy that this boy has clothes on him and is resting/not crying in a beautiful day in fall.,2.25,3.264270544052124
95,"An old photograph of someone who has suffered a very deep cut on their face, spanning from the forehead to the jaw.",6.75,3.04937744140625
96, Her posture makes her seem calm and she seems to be.,2.75,4.286077499389648
97, this is a posed photo of two men in a city and one man is trying to threaten the other one who looks vaguely uncomfortable .,2.25,2.755354404449463
98, The man is looking at the camera while the woman is looking at the man.,7.0,2.9673595428466797
99, this is really unpleasant the body looks really mangled and gross.,1.75,3.2417802810668945
100, the one guy is threatening the other guy and holding his shirt.,5.5,4.4563374519348145
101, Half his face is missing and bloodied.,7.0,3.1870107650756836
102," A man looking over, neutral expression.",6.0,2.816126823425293
103, It is a gruesome image and it makes me feel scared.,2.75,3.3740861415863037
104,there is a dead woman with a bloody face her nose is specifically the most bloody part .,5.0,3.1490297317504883
105," This is a group of people dead, bruised and bleeding.",6.0,3.764030933380127
106," That hand is really mangled, that looks incredibly painful.",4.0,4.224018096923828
107,An image of a baby in some kind of incubator.,5.25,2.6899235248565674
108, A dead man with his throat slashed and possible chest injuries.,6.5,2.8888587951660156
109, No one else is in the photo though and there's no imagery of someone being harmed.,4.75,2.532170295715332
110, the car door is open.,6.75,4.564054012298584
111," She has somewhat disfigured body features, like she does not have breasts.",6.0,3.0836312770843506
112,On Saturdays she stays in and prepares all her photos for the week ahead of time.,5.75,3.132464647293091
113, It is propped up on its elbows and smiling for the camera.,6.5,3.0449061393737793
114," One man is in a beige suit, and the other is in a dark suit.",6.25,6.317344665527344
115," Very burned, the exposed flesh and ash juxtaposition is scar.",4.5,2.654597520828247
116, she has glasses and short blonde hair.,5.75,3.4657843112945557
117," The man is pointing his gun towards the lady, who is obviously .",6.0,3.057450294494629
118, a man had duct tape around his head.,7.0,3.2901387214660645
119, There was a white man wearing a red shirt choking a young woman who did not seem to be enjoying at all .,4.0,3.386676549911499
120, Man left side of face is completely gone.,5.25,2.4697203636169434
121," There are a bunch of people, mostly firemen, surrounding a car that has just crashed into a tree.",6.0,3.5793259143829346
122, This is a very disturbing image.,1.25,3.0132858753204346
123," His finger was on the trigger, ready to fire.",5.25,2.8246350288391113
124, also could be gooby from meet the robinsons lol I'm a fan of this dude.,2.5,2.6433753967285156
125, I love to see a child reading and she already has better fashion than me.,1.5,4.105071544647217
126, I don't really feel anything to this because I don't know what she's doing.,1.75,2.7384276390075684
127,“’It’s the very first time in Belgium that a [mass movement was] started by two women and not about feminist rights.’,4.75,3.537485122680664
128," She seems to be wearing lipstick, and has bangs covering her face.",4.25,3.0328550338745117
129,"He is wearing sunglasses, and a backwards cap who is pointing the gun at a black dude in a car.",7.0,3.0758187770843506
130," The thief is caught in the middle of his robbery, shocked.",5.25,2.895845890045166
131, a man in a cowboy hat once was playing a guitar a long time ago.,6.5,3.518282651901245
132, the baby has really dark sweet eyes.,3.5,2.8948192596435547
133,Whatever it takes.,2.5,2.9250550270080566
134,That’s how I made my way into this niche where there was no one else.,3.5,2.819857597351074
